class	vtable	base_classes	slot_count
vtable_008ce9a4	0x008ce9a4		7
vtable_008ce9e0	0x008ce9e0		6
vtable_008cea00	0x008cea00		18
vtable_008cea50	0x008cea50		46
vtable_008ceb0c	0x008ceb0c		4
vtable_008ceb5c	0x008ceb5c		11
vtable_008ceb8c	0x008ceb8c		11
vtable_008cebc8	0x008cebc8		4
vtable_008cebe8	0x008cebe8		18
vtable_008cec34	0x008cec34		7
vtable_008cec70	0x008cec70		6
vtable_008cec90	0x008cec90		18
vtable_008cece0	0x008cece0		44
vtable_008ceda4	0x008ceda4		5
vtable_008cedc8	0x008cedc8		4
ZTMultiList	0x008cf018		26
vtable_008cf084	0x008cf084		9
vtable_008cf0b0	0x008cf0b0		14
vtable_008cf0fc	0x008cf0fc		7
vtable_008cf138	0x008cf138		6
vtable_008cf158	0x008cf158		18
vtable_008cf1a8	0x008cf1a8		54
ZTOverviewData	0x008cf518		21
ZTOverviewComponent	0x008cf570		26
vtable_008cf5e8	0x008cf5e8		4
vtable_008cf608	0x008cf608		14
vtable_008cf654	0x008cf654		7
vtable_008cf690	0x008cf690		6
vtable_008cf6b0	0x008cf6b0		18
vtable_008cf700	0x008cf700		44
BFXMLText	0x008cf7b8		18
UIMouseData	0x008cf800		13
ZTOverviewModeAnimalIcon	0x008cf880		25
ZTOverviewModeBuildingIcon	0x008cf930		25
vtable_008cfc6c	0x008cfc6c		11
vtable_008cfc9c	0x008cfc9c		11
vtable_008cfcd8	0x008cfcd8		4
vtable_008cfcf8	0x008cfcf8		14
vtable_008cfd44	0x008cfd44		7
vtable_008cfd80	0x008cfd80		6
vtable_008cfda0	0x008cfda0		18
vtable_008cfdf0	0x008cfdf0		71
ZTUIFullscreenButton	0x008cff78		29
vtable_008cfff0	0x008cfff0		4
vtable_008d0010	0x008d0010		15
vtable_008d005c	0x008d005c		7
vtable_008d0098	0x008d0098		6
vtable_008d00b8	0x008d00b8		18
vtable_008d0108	0x008d0108		44
vtable_008d01cc	0x008d01cc		5
vtable_008d01f0	0x008d01f0		21
ZTUIResearchButton	0x008d0270		14
vtable_008d02ac	0x008d02ac		11
vtable_008d02dc	0x008d02dc		9
vtable_008d0308	0x008d0308		14
vtable_008d0354	0x008d0354		7
vtable_008d0390	0x008d0390		6
vtable_008d03b0	0x008d03b0		18
vtable_008d0400	0x008d0400		54
ZTUITimedEvents	0x008d0500		26
vtable_008d0578	0x008d0578		6
vtable_008d0598	0x008d0598		14
vtable_008d05e4	0x008d05e4		7
vtable_008d0620	0x008d0620		6
vtable_008d0640	0x008d0640		18
vtable_008d0690	0x008d0690		42
ZTUITypeList	0x008d0940		14
vtable_008d097c	0x008d097c		11
vtable_008d09ac	0x008d09ac		10
vtable_008d09d8	0x008d09d8		14
